type,rank,up,title,play,like,follow
movie,46,,哪吒之魔童降世,2840万,,107.6万
movie,47,,声之形,2841.7万,,218.6万
movie,48,,工作细胞：细胞大作战,582万,,912.1万
movie,49,,普罗米亚,766.1万,,63.1万
movie,50,,白蛇2：青蛇劫起,2066.8万,,146.5万
movie,51,,烟花,1251.1万,,93.7万
movie,52,,夺冠,4530万,,89.7万
movie,53,,紫罗兰永恒花园外传：永远与自动手记人偶,3350.1万,,593.2万
movie,54,,情书,736.9万,,35.5万
movie,55,,帝国的毁灭,1256.6万,,40.8万
movie,56,,游戏人生零,2494.5万,,349.8万
movie,57,,头文字D,2001.8万,,44.3万
movie,58,,独立之日,12.4万,,613
movie,59,,八佰,1823.3万,,39.8万
movie,60,,哥斯拉2：怪兽之王,1823.3万,,47万
movie,61,,蜘蛛侠：英雄归来,1007.5万,,20.7万
movie,62,,黑客帝国,1614.4万,,55.3万
movie,63,,飞驰人生,907.3万,,24.6万
movie,64,,蜘蛛侠,547.4万,,25.3万
movie,65,,一秒钟,2365万,,22.3万
movie,66,,放牛班的春天,656.1万,,40.2万
movie,67,,天气之子,3509.4万,,312.1万
movie,68,,夏目友人帐,1513.6万,,88.8万
movie,69,,环太平洋,1596.5万,,49.7万
movie,70,,上海堡垒,1298.1万,,12.2万
movie,71,,心花路放,620.7万,,16.9万
movie,72,,名侦探柯南：绀青之拳,2366.5万,,62万
movie,73,,邪不压正,1944万,,60.8万
movie,74,,叶问4：完结篇,1819.3万,,36.9万
movie,75,,熊猫侠,802.6万,,7.1万
movie,76,,末日之战,1521.2万,,46.6万
movie,77,,全职高手之巅峰荣耀,2854.1万,,106万
movie,78,,人在囧途,441.4万,,15.7万
movie,79,,绿皮书,1130.7万,,54.2万
movie,80,,指环王1：护戒使者,1460.7万,,61.7万
movie,81,,龙珠超：布罗利,1614.6万,,33.4万
movie,82,,流浪地球,1116.4万,,58.3万
movie,83,,决战中途岛,1108.7万,,30.7万
movie,84,,万万没想到,1614.8万,,19.7万
movie,85,,哈利·波特与密室,2311.3万,,79.2万
movie,86,,庞贝末日,97.8万,,1.1万
movie,87,,大侦探皮卡丘,2138.2万,,56.9万
movie,88,,罗小黑战记,4329.8万,,366.4万
movie,89,,大鱼海棠,1754.7万,,53.8万
movie,90,,对岸,47.9万,,1.8万
movie,91,,亚当斯一家,125.5万,,13.3万
movie,92,,蝙蝠侠：黑暗骑士,1701.6万,,70.8万
movie,93,,招魂,806.2万,,30.6万
movie,94,,王子与我,4.6万,,2174
car,1,宝马,🐎⚡️🐯⚡️🐯⚡️🐎,65.9万,932,
movie,95,,战狼,911.7万,,14.9万
movie,96,,怦然心动,911.7万,,65.8万
movie,97,,海蒂和爷爷,799.8万,,46.9万
movie,98,,变脸迷情,47.7万,,8743
movie,99,,冰刀双人组,94万,,2.2万
movie,100,,傲慢与偏见与僵尸,628.7万,,16.8万
car,2,大头薯_,长张高速常德段多车相撞，过年出行多注意交通安全。,67.8万,1981,
car,3,丰田中国,每个人都有自己的人生轨迹，相同的是我们总会不约而同地奔赴同一个地方。你知道是哪吗？观看视频，你会找到答案。,389.2万,570,
car,4,终极小腾,和运动员打架几成胜算？这次玩大了…,35.3万,1729,
car,5,极速拍档,全球首试山寨坦克100,34.7万,4591,
car,6,五十岁阿姨自驾游,现在还不折腾，以后拿什么去回忆,40.8万,212,
car,7,一纯与二林,如果结婚不买房，买个房车怎么样？,162.8万,97,
car,8,机饿青春,⚡这就是名场面10⚡【机饿F1】,22.8万,890,
car,9,360记录仪车祸现场,大哥有事真上啊,548.2万,1.1万,
car,10,天地良心汽车厂,年轻人的第一辆敞篷车，只售8万8的探客100你会买吗？,20.9万,1642,
car,11,杨旭游记,开着房车到海南过年，一家5口一直住房车里，今天我们换了个住处,22.1万,1914,
car,12,备胎说车,为什么银行现在不愿办ETC了？,24.8万,540,
car,13,dadadadada怪,五菱神车：车不行，别怪路不平,349.4万,4582,
car,14,杨慢慢追风逐日,网络热门事故分析：喊几声“国粹”有助临场发挥？！,31万,151,
car,15,谭乔,《谭谈交通》VS《雨说体育》，谁才是真正的老司机？,22万,1520,
car,16,说车的八戒,把兰博基尼拖拉机开到4s店保养是什么体验,22.1万,203,
car,17,海同学的车生活,刚买车都很心疼，尤其是第一台车，等过了一段时间就没那么在乎了，你们也是这样吗？,199.1万,76,
car,18,张张说车,前男友送小姐姐保时捷718，居然…,118.9万,551,
car,19,殷教练陪你学车,如果能避让的话，最好避让下，毕竟你也是从这开始起步的，假设考试车上坐的是你，你心里是非常希望路上就我这辆考试车在行驶吧,22.1万,37,
car,20,朱诺房车喵游记,跑遍半个中国的小猫咪，到底有多酷！,48.6万,85,
car,21,痞子拍車,车身可自动修复，兰博基尼TerzoMillennio，没有电池的电动超跑,121.1万,72,
car,22,大强识交通,监控下难以置信的一幕，这两人绝对是知音,168.4万,12,
car,23,易车横评,国民SUV强强对决哈弗H6对拆长安CS75PLUS,12.5万,1245,
car,24,endebai,丧尸来了有这台车，我多活几天，在座的各位没有意见吧？,275.4万,16,
car,25,七哥撩车,【七哥撩车】B站涨粉最慢的汽车up主？,5.6万,640,
car,26,养车万事通,不怕大众带字母，就怕奥迪带爆闪！,22.1万,47,
car,27,我也认识几台车,修理厂的卧底同志，这个月工资你也别要了，我也不让你赔钱了，大家就次别过，互相放大家一条活路吧……,199.4万,632,
car,28,ABV车比得,自购拆解，Model3&汉EV车身材质、工艺有什么特点,6.1万,1732,
car,29,伊莎贝尔佩琪,WRC各种起飞名场面,22.4万,609,
car,30,说车小龙总,打车遇到一个开马丁的小姐姐，她竟然让我一起喝咖啡！,109.6万,16,
car,31,blli老表筱哥,富豪驾布加迪狂飙时速417公里！德国官方：不违法但不欢迎,41万,753,
car,32,小明不背锅,832期：呲溜~呲溜~呲溜~~~~~,13.5万,2556,
car,33,凯迪拉克官方,凯迪拉克CT5X闪闪发光的少年｜与你一起勇敢追光,32.1万,466,
car,34,38号不只会评车,你是否真的需要一台四驱SUV或越野车？,11.7万,841,
car,35,Polestar极星,新年，“星”办法,17.4万,72,
